Date,Open,High,Low,Close,Adj Close,Volume
2020-03-25,46.200184,46.440186,45.024181,46.080185,45.555534,134285
2020-03-26,46.200184,49.632198,45.744183,49.488197,48.924744,240057
2020-03-27,49.320198,51.960209,47.760193,50.016201,49.446732,252995
2020-03-30,50.424202,51.360207,48.600193,50.136200,49.565369,107893
2020-03-31,49.800198,54.000217,48.840195,52.272209,51.677055,235107
2020-04-01,50.640202,53.856216,50.352200,53.160213,52.554947,173170
2020-04-02,53.592213,56.832226,52.800213,55.872223,55.236080,329925
2020-04-03,56.400227,57.000229,53.640213,55.320221,54.690361,182548
2020-04-06,55.152222,56.136223,51.096203,53.880215,53.266750,165394
2020-04-07,53.880215,54.816219,51.120205,51.888206,51.297424,190224
2020-04-08,51.120205,54.000217,50.760204,52.512211,51.914322,157048
2020-04-09,53.520214,53.856216,52.800213,53.328213,52.721035,91377
2020-04-14,54.000217,54.000217,51.840206,52.128208,51.534695,88521
2020-04-15,51.600204,53.112213,49.368198,49.368198,48.806107,109337
2020-04-16,49.296196,52.992210,49.200195,52.032207,51.439785,100510
2020-04-17,52.200207,53.256214,52.080208,52.920212,52.317680,80115
2020-04-20,54.000217,55.680222,53.280212,55.416222,54.785271,194096
2020-04-21,54.600220,57.936230,53.688213,57.096230,56.446152,249206
2020-04-22,57.528229,58.800236,56.832226,58.656235,57.988392,143716
2020-04-23,58.800236,59.352238,55.656223,57.840233,57.181683,159185
2020-04-24,58.920235,61.920246,58.200233,60.420242,59.732319,430485
2020-04-27,61.860249,69.120277,61.440247,69.000275,68.214661,475723
2020-04-28,68.760277,75.120300,64.080254,67.260269,66.494469,868988
2020-04-29,68.760277,70.440285,66.540268,66.780266,66.019928,255036
2020-04-30,67.140266,67.800270,62.820251,65.400261,64.655640,289020
2020-05-04,63.840256,67.560272,61.500244,66.240265,65.486076,182953
2020-05-05,67.200272,68.700272,65.040260,68.400276,67.621498,159891
2020-05-06,68.400276,70.560280,66.660263,68.640274,67.858757,173801
2020-05-07,69.240273,70.920280,68.400276,70.200279,69.401001,103490
2020-05-08,70.200279,71.040283,67.980270,69.600281,68.807831,127482
2020-05-11,69.420280,70.200279,67.560272,69.480278,68.689201,202098
2020-05-12,69.600281,70.200279,68.460274,69.240273,68.451927,105751
2020-05-13,68.400276,68.880272,66.600266,67.320267,66.553780,86576
2020-05-14,66.000267,66.600266,58.200233,62.880253,62.164318,408418
2020-05-15,63.840256,65.880264,61.440247,63.420254,62.698170,173180
2020-05-18,63.240253,65.400261,62.880253,65.400261,64.655640,210357
2020-05-19,65.460258,66.480263,62.580250,64.020256,63.291344,164609
2020-05-20,66.240265,66.240265,63.060253,64.680260,63.943836,136952
2020-05-21,64.680260,67.560272,63.240253,66.360268,65.604713,155451
2020-05-22,65.520264,68.280273,65.520264,67.320267,66.553780,129457
2020-05-25,68.040276,69.000275,67.620270,68.940277,68.155342,76213
2020-05-26,69.480278,71.340286,66.600266,70.920280,70.112808,211339
2020-05-27,71.340286,72.540291,68.520271,69.240273,68.451927,205942
2020-05-28,69.780281,71.100281,67.920273,69.360275,68.570557,105314
2020-05-29,69.120277,74.580299,68.760277,74.100296,73.256615,409369
2020-06-01,74.820297,76.200302,72.360291,73.500298,72.663452,200878
2020-06-02,74.160294,74.280296,71.400284,72.360291,71.536423,213856
2020-06-03,73.680290,73.680290,71.400284,72.480286,71.655052,111959
2020-06-04,73.200294,74.340294,70.680283,73.320290,72.485489,246330
2020-06-05,72.720291,73.680290,71.760284,72.180290,71.358467,150314
2020-06-08,72.120285,72.420288,69.720276,70.140282,69.341690,213021
2020-06-09,68.640274,71.880287,67.440269,70.800285,69.994171,237477
2020-06-10,70.800285,74.100296,70.320282,73.740295,72.900711,146545
2020-06-11,73.800293,75.000298,71.820290,74.280296,73.434570,163555
2020-06-12,72.900291,75.960304,72.360291,75.240303,74.383636,218047
